source,make,year,model,price,engine,total_time,engine_time,location,title,url,image_url,description,first_seen,last_seen
trade-a-plane,American Champion,2026,8-KCAB SUPER DECATHLON,,,,,,2026 AMERICAN CHAMPION 8-KCAB,https://www.trade-a-plane.com/search?category_level1=Single+Engine+Piston&make=AMERICAN+CHAMPION&model=8-KCAB+SUPER+DECATHLON&listing_id=2432922&s-type=aircraft,https://dsgiipnwy1jd8.cloudfront.net/eyJidWNrZXQiOiJ0YXAtYXNzZXRzMSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NjgwLCJmaXQiOiJjb250YWluIiwiYmFja2dyb3VuZCI6eyJhbHBoYSI6MSwiciI6MjU1LCJiIjoyNTUsImciOjI1NX19LCJzbWFydE92ZXJsYXkiOnsiYnVja2V0IjoidGFwLWFzc2V0czEiLCJrZXkiOiJ3YXRlcm1hcmsucG5nIn19LCJrZXkiOiIxNTc0ODc1LmpwZyJ9,"2026 AMERICAN CHAMPION 8-KCAB SUPER DECATHLON Call for Price Get Financing Reg# TBD TT: 0 Performance Specs Brand New 2026 Super Decathlon, 180 HP very well balanced aircraft, Built super light at approximately 1305 lbs, Equipped with Hartzell Trailblazer aerobat... More Info Northwest Backcountry Aircraft LLC Nampa , ID USA (208) 454-XXXX (click) (208) 630-XXXX (click) Compare SAVE Last Update: 03/09/2026",2026-05-30,2026-05-30
trade-a-plane,American Champion,2026,8-KCAB SUPER DECATHLON,,,,,,2026 AMERICAN CHAMPION 8-KCAB,https://www.trade-a-plane.com/search?category_level1=Single+Engine+Piston&make=AMERICAN+CHAMPION&model=8-KCAB+SUPER+DECATHLON&listing_id=2456410&s-type=aircraft,https://dsgiipnwy1jd8.cloudfront.net/eyJidWNrZXQiOiJ0YXAtYXNzZXRzMSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NjgwLCJmaXQiOiJjb250YWluIiwiYmFja2dyb3VuZCI6eyJhbHBoYSI6MSwiciI6MjU1LCJiIjoyNTUsImciOjI1NX19LCJzbWFydE92ZXJsYXkiOnsiYnVja2V0IjoidGFwLWFzc2V0czEiLCJrZXkiOiJ3YXRlcm1hcmsucG5nIn19LCJrZXkiOiIxNjE4MDA4LmpwZyJ9,"2026 AMERICAN CHAMPION 8-KCAB SUPER DECATHLON Call for Price Get Financing Reg# N398BC TT: 0 Performance Specs “THIS IS THE ONLY BRAND NEW MODERN WING FOR SALE IN THE WORLD” Brand New - Ferry time only - 2026 Super Decathlon, 180 HP very well balanced aircraft, ... More Info Northwest Backcountry Aircraft LLC Nampa , ID USA (208) 454-XXXX (click) (208) 630-XXXX (click) Compare SAVE Last Update: 05/21/2026",2026-05-30,2026-05-30
trade-a-plane,American Champion,2026,8-KCAB XTREME DECATHLON,,,,,,2026 AMERICAN CHAMPION 8-KCAB,https://www.trade-a-plane.com/search?category_level1=Single+Engine+Piston&make=AMERICAN+CHAMPION&model=8-KCAB+XTREME+DECATHLON&listing_id=2404694&s-type=aircraft,https://dsgiipnwy1jd8.cloudfront.net/eyJidWNrZXQiOiJ0YXAtYXNzZXRzMSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NjgwLCJmaXQiOiJjb250YWluIiwiYmFja2dyb3VuZCI6eyJhbHBoYSI6MSwiciI6MjU1LCJiIjoyNTUsImciOjI1NX19LCJzbWFydE92ZXJsYXkiOnsiYnVja2V0IjoidGFwLWFzc2V0czEiLCJrZXkiOiJ3YXRlcm1hcmsucG5nIn19LCJrZXkiOiI5MTU4NjIuanBnIn0=,"2026 AMERICAN CHAMPION 8-KCAB XTREME DECATHLON Call for Price Get Financing Reg# TBD TT: 1 Team Aircraft is an American Champion Aircraft Authorized Dealer.  Call to order your new 2026 Xtreme or Super Decathlon.  Garmin G3X Display options now a... More Info TEAM AIRCRAFT Olathe (KOJC) , KS USA (913) 768-XXXX (click) Compare SAVE Last Update: 08/02/2025",2026-05-30,2026-05-30
aircraftforsale,Aviat Husky,2002,Husky,"$155,000",,,,78058 Mountain Home Texas,Aviat A-1B Husky,https://aircraftforsale.com/aircraft/single-engine-piston/aviat/a-1b-husky/78058-mountain-home-texas-united-states/aviat-a-1b-husky-for-sale-600412,,"Aviat A-1B Husky Top Listing Aviat A-1B Husky A-1B Husky S/N : 2213 REG : N99HY TT : 1440 Year : 2002 Garmin GNC355, GTX327 Transponder, GDL 88 ADS-B In and Out, Aera 560 Portable w/XM, Aspen EFD 1000, LED Nav and Landing Lights, 26"" ... $155,000 Save compare_arrows add_circle_outline Add to comparing list compare_arrows Comparing list delete_outline Remove from comparing list Apply for Financing Texas, United States",2026-05-29,2026-05-30
aviat,Aviat Husky,2007,Husky A-1C-180,"$245,000",180 hp,,,,2007 Husky A-1C-180 N777HY,https://aviataircraft.com/husky-aircraft-used-inventory/#N777HY,,"
</div><div class=""fusion-clearfix""></div></div></div><div class=""fusion-layout-column fusion_builder_column fusion-builder-column-8 fusion_builder_column_1_1 1_1 fusion-one-full fusion-column-first fusion-column-last fusion-column-no-min-height"" style=""--awb-padding-right:40px;--awb-padding-left:40px;--awb-bg-size:cover;--awb-margin-bottom:0px;""><div class=""fusion-column-wrapper fusion-column-has-shadow fusion-flex-column-wrapper-legacy""><div class=""fusion-text fusion-text-6"" style=""--awb-text-transform:none;""><p style=""text-align: center;"">Becker, Port GPS, Artificial Horizon, Garmin 496, Power Port Receptacle, Bose Harness, Garmin GTX-345 with GPS MODES Transponder, ADSB with GAE-12 Digital Encoder, GA-35 WAAS GPS Antenna, Garmin Aera 660 Portable GPS | Oversize Tires | MT Propeller | S",2026-05-29,2026-05-30
aviat,Aviat Husky,2019,Husky A-1C-180,"$365,000",180 hp,168 TT,,C29,2019 Husky A-1C-180 N18AH,https://aviataircraft.com/husky-aircraft-used-inventory/#N18AH,,"
</div><div class=""fusion-clearfix""></div></div></div><div class=""fusion-layout-column fusion_builder_column fusion-builder-column-4 fusion_builder_column_1_1 1_1 fusion-one-full fusion-column-first fusion-column-last fusion-column-no-min-height"" style=""--awb-padding-right:40px;--awb-padding-left:40px;--awb-bg-size:cover;--awb-margin-bottom:0px;""><div class=""fusion-column-wrapper fusion-column-has-shadow fusion-flex-column-wrapper-legacy""><div class=""fusion-text fusion-text-4"" style=""--awb-text-transform:none;""><p style=""text-align: center;"">Garmin G500TXi Touch Screen PFD/MFD &amp; Engine Information System, Garmin 750 Nav/Com GPS, GMA35C, Bluetooth Enabled Audio Panel, GTX 345R ADS-B Remote Transponder, Bose Headset Jacks/Twin Plugs, Garmin GTR 225A, GFC500 3 Axis Autopilot, Garmin GI275",2026-05-29,2026-05-30
barnstormers,Aviat Husky,2005,Husky,,,,,,2005 Aviat Husky A 1B,https://www.barnstormers.com/adclick.php?type=featured_category_clicks&id=2035874&adtitle=2005-Aviat-Husky-A-1B,,"                   <td style=""white-space:nowrap;""><a class='listing_header' style=""vertical-align:baseline;text-decoration:underline;color:black;"" href='/adclick.php?type=featured_category_clicks&id=2035874&adtitle=2005-Aviat-Husky-A-1B'>2005 Aviat Husky A-1B</a> <a style=""vertical-align:baseline;font-size:small;"" class='featured_click' href='/adclick.php?type=featured_category_clicks&id=2035874&adtitle=2005-Aviat-Husky-A-1B'>Click Here...</a></td>
                            <!-- <td style=""wh",2026-05-29,2026-05-30
controller,Aviat Husky,1999,A-1B,"$179,900",,"1,675 TT","1,675 SNEW","Mcallen, Texas",1999 AVIAT HUSKY A-1B,https://www.controller.com/listing/for-sale/254195533/1999-aviat-husky-a-1b-piston-single-aircraft,https://media.sandhills.com/img.axd?id=11010765447&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=KlPxEAYUw%2b4SzHAmv4661VeT79u4uLyqCqRbmmV6blo%3d,"1999 AVIAT HUSKY A-1B Piston Single Aircraft Options Featured Listing USD $179,900 Payments as low as USD $1,667.70 * *Apply for Financing Operating Costs View Details Total Time : 1,675 Serial Number : 2023 Registration # : N799FW FlightRules : IFR Engine 1 Time : 1,675 SNEW Year Interior : 1999 Description : $10,000 Price Drop! One of a kind! A one owner, NDH, IFR 180HP Husky with a 3-axis Garmin GFC500 autopilot, a 430W, a KX155 w/ GS, a Garmin 345 tra... Updated : Friday, May 29, 2026 02:14 PM Location : Mcallen, Texas Email Seller (956) 686-1774 Seller : MCCREERY AVIATION CO INC",2026-05-30,2026-05-30
controller,Aviat Husky,2000,A-1B,"$134,553",Lycoming O-360-A1P,420 TT,420 SNEW,"London, London, United Kingdom",2000 AVIAT HUSKY A-1B,https://www.controller.com/listing/for-sale/256480029/2000-aviat-husky-a-1b-piston-single-aircraft,https://media.sandhills.com/img.axd?id=11024029464&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=XVXF7CoSYWxZLW4hF4PELrSP2KwmJFr8CNTFnuqWeO4%3d,"2000 AVIAT HUSKY A-1B Piston Single Aircraft Options See All 14 Photos USD $134,553 Operating Costs View Details Total Time : 420 Serial Number : 2066 Registration # : N78HB FlightRules : VFR Engine 1 Time : 420 SNEW Engine 1 Make/Model : LYCOMING O-360-A1P Description : Updated : Tuesday, May 19, 2026 05:40 AM Location : London, London, United Kingdom Email Seller +44 7584 064729 Seller : Flightline Aviation Limted",2026-05-30,2026-05-30
controller,Aviat Husky,2007,A-1B,"$245,000",,294 TT,294 SNEW,"Middleton, Wisconsin",2007 AVIAT HUSKY A-1B,https://www.controller.com/listing/for-sale/250363283/2007-aviat-husky-a-1b-piston-single-aircraft,https://media.sandhills.com/img.axd?id=10018019040&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=8BGyuwmx2TIlYs%2f%2fEM5u119qwSaCvCmXXcpL%2bfEHxPc%3d,"2007 AVIAT HUSKY A-1B Piston Single Aircraft Options See All 9 Photos USD $245,000 Payments as low as USD $2,271.18 * *Apply for Financing Operating Costs View Details Total Time : 294 Serial Number : 2387 Registration # : N777HY Number of Seats : 2 FlightRules : VFR Engine 1 Time : 294 SNEW Description : 2007 Husky A-1B-180 Yellow Classic Birkmeyer - Becker/Port GPS, Artificial Horizon, Garmin 496, Power Port Receptacle, Bose Harness (mono), Garmin ... Updated : Friday, May 08, 2026 09:00 AM Location : Middleton, Wisconsin Email Seller (608) 332-6110 Seller : Aviat Aircraft Inc.",2026-05-30,2026-05-30
controller,Aviat Husky,2007,A-1B,"$199,000",,475 TT,475 SNEW,"Mcallen, Texas",2007 AVIAT HUSKY A-1B,https://www.controller.com/listing/for-sale/254084127/2007-aviat-husky-a-1b-piston-single-aircraft,https://media.sandhills.com/img.axd?id=11010646180&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=19oSWckYsRaZvNleLvbHRwZasWDC6qgHc%2fBmumaCI4c%3d,"2007 AVIAT HUSKY A-1B Piston Single Aircraft Options Featured Listing See All 15 Photos USD $199,000 Payments as low as USD $1,844.75 * *Apply for Financing Operating Costs View Details Total Time : 475 Serial Number : 2392 Registration # : N168AA FlightRules : VFR Engine 1 Time : 475 SNEW Year Interior : 2007 Description : Not just a PRICE DROP, this is a PRICE PLUMMET! Owner says SELL IT! Price reduced $30,000! Outstanding NDH, no corrosion, lightweight low time 180H... Updated : Friday, May 29, 2026 02:14 PM Location : Mcallen, Texas Email Seller (956) 686-1774 Seller : MCCREERY AVIATION CO INC",2026-05-30,2026-05-30
controller,Aviat Husky,2011,A-1C-180,"$239,000",180 hp,180 TT,180 SNEW,"Mcallen, Texas",2011 AVIAT HUSKY A-1C-180,https://www.controller.com/listing/for-sale/255957485/2011-aviat-husky-a-1c-180-piston-single-aircraft,https://media.sandhills.com/img.axd?id=11025841962&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=7IxjXyKOLExI4j5hTuObpWgzprz3hk43O5r5U4%2fM9rc%3d,"2011 AVIAT HUSKY A-1C-180 Piston Single Aircraft Options Featured Listing See All 16 Photos USD $239,000 Payments as low as USD $2,215.56 * *Apply for Financing Operating Costs View Details Total Time : 180 Serial Number : 3136 Registration # : N300MA FlightRules : IFR Engine 1 Time : 180 SNEW Year Interior : 2011 Description : Outstanding ""Big Door"", super-low time 180HP IFR Husky. May annual by McCreery with new fuel sight tubes, new bungees w/ a fresh SGS kit, fresh eng... Updated : Friday, May 29, 2026 04:08 PM Location : Mcallen, Texas Email Seller (956) 686-1774 Seller : MCCREERY AVIATION CO INC",2026-05-30,2026-05-30
controller,Aviat Husky,2012,A-1C-200,"$329,000",200 hp,410 TT,410 SNEW,"Tupelo, Mississippi",2012 AVIAT HUSKY A-1C-200,https://www.controller.com/listing/for-sale/249384829/2012-aviat-husky-a-1c-200-piston-single-aircraft,https://media.sandhills.com/img.axd?id=10013259912&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=MIGtF6CA6zdBpQIqqSQhUxNI0%2fakr6gi0kbO5wTS0ew%3d,"2012 AVIAT HUSKY A-1C-200 Piston Single Aircraft Options Featured Listing See All 11 Photos USD $329,000 Payments as low as USD $3,049.87 * *Apply for Financing Operating Costs View Details Total Time : 410 Registration # : N146HG Engine 1 Time : 410 SNEW Engine TBO : 2000 Description : Updated : Thursday, May 28, 2026 09:38 AM Location : Tupelo, Mississippi Email Seller (662) 368-8005 Seller : InmonAir",2026-05-30,2026-05-30
controller,Aviat Husky,2013,A-1C-180,"$279,000",180 hp,415 TT,415 SNEW,"Mcallen, Texas",2013 AVIAT HUSKY A-1C-180,https://www.controller.com/listing/for-sale/220797383/2013-aviat-husky-a-1c-180-piston-single-aircraft,https://media.sandhills.com/img.axd?id=10012767213&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=1w3HLvLezKrv52d4wqVkvChLb%2fS6Z9xpEZH4ZFQ8eW4%3d,"2013 AVIAT HUSKY A-1C-180 Piston Single Aircraft Options Featured Listing See All 24 Photos USD $279,000 Payments as low as USD $2,586.36 * *Apply for Financing Operating Costs View Details Total Time : 415 Serial Number : 3196 Registration # : N32MA FlightRules : IFR Engine 1 Time : 415 SNEW Year Interior : 2013 Description : PRICE DROP! Summer comes soon enough! This Husky has AIR CONDITIONING  A/C IN A HUSKY? YES, YES, YES!!! THE ONLY ONE ON THE PLANET!!! Only 35 lbs. ... Updated : Friday, May 29, 2026 02:14 PM Location : Mcallen, Texas Email Seller (956) 686-1774 Seller : MCCREERY AVIATION CO INC",2026-05-30,2026-05-30
controller,Aviat Husky,2013,A-1C-180,"$265,000",180 hp,233 TT,281.61 SNEW,"Grand Junction, Colorado",2013 AVIAT HUSKY A-1C-180,https://www.controller.com/listing/for-sale/255053795/2013-aviat-husky-a-1c-180-piston-single-aircraft,https://media.sandhills.com/img.axd?id=11016484125&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=gZ%2fXydFMD6R%2fS2eMQthMLFcD0F7DIhfZMmQiwB%2fIrwk%3d,"2013 AVIAT HUSKY A-1C-180 Piston Single Aircraft Options Featured Listing See All 10 Photos USD $265,000 Payments as low as USD $2,456.58 * *Apply for Financing Operating Costs View Details Total Time : 233 Number of Seats : 2 FlightRules : VFR Engine 1 Time : 281.61 SNEW Year Interior : 2013 Year Painted : 2013 Description : Beautiful HUSKY A-1C-180. Total Time 233. Hartzel HC-C2YR-IN TOP PROP. STANDARD Garmin 796 airplane with added Garmin G5 driving a Garmin GFC 500 d... Updated : Wednesday, April 08, 2026 01:18 PM Location : Grand Junction, Colorado Email Seller (314) 492-4359 Seller : Brad Weston",2026-05-30,2026-05-30
controller,Aviat Husky,2013,A-1C-200,"$325,000",Lycoming ENGINE 200 hp,663 TT,663 SNEW,"South Saint Paul, Minnesota",2013 AVIAT HUSKY A-1C-200,https://www.controller.com/listing/for-sale/256159869/2013-aviat-husky-a-1c-200-piston-amphibious-slash-floatplanes,https://media.sandhills.com/img.axd?id=11023308963&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=EhBlOQx636KgG2dZs8cw8gZUEIHJAdhEAlSrizUSQ8E%3d,"2013 AVIAT HUSKY A-1C-200 Piston Amphibious/Floatplanes Options Featured Listing See All 11 Photos USD $325,000 Payments as low as USD $3,012.79 * *Apply for Financing Operating Costs View Details Total Time : 663 Serial Number : 3168 Registration # : N316AG Engine 1 Time : 663 SNEW Engine 1 Make/Model : LYCOMING Engine 1 TBO : 2000 Description : Your seaplane summer awaits! This super-clean 200 hp Husky is equipped with Wipline 2100 amphibious floats, reversing MT composite propeller (new i... Updated : Thursday, May 14, 2026 11:27 AM Location : South Saint Paul, Minnesota Email Seller (651) 414-6825 Seller : Wipaire Inc",2026-05-30,2026-05-30
controller,Aviat Husky,2014,A-1C-180,"$309,000",180 hp,315 TT,315 SNEW,"Mcallen, Texas",2014 AVIAT HUSKY A-1C-180,https://www.controller.com/listing/for-sale/255199797/2014-aviat-husky-a-1c-180-piston-single-aircraft,https://media.sandhills.com/img.axd?id=11020698038&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=xixNNS9VzEHdIuJ3sS6ofLNdk6W8AKzxcHdo3eObPek%3d,"2014 AVIAT HUSKY A-1C-180 Piston Single Aircraft Options Featured Listing See All 16 Photos USD $309,000 Payments as low as USD $2,864.47 * *Apply for Financing Operating Costs View Details Total Time : 315 Serial Number : 3204 Registration # : N58NF FlightRules : IFR Engine 1 Time : 315 SNEW Year Interior : 2014 Description : Wow! $10,000 Price Drop! GFC500 3-Axis AUTOPILOT! G500 w/ Synthetic Vision! GTN750! Remote GTX345R ADS-B In/Out TXP and AUDIO PANEL G5 is backup to... Updated : Friday, May 29, 2026 02:14 PM Location : Mcallen, Texas Email Seller (956) 686-1774 Seller : MCCREERY AVIATION CO INC",2026-05-30,2026-05-30
controller,Aviat Husky,2019,A-1C-180,"$365,000",180 hp,168 TT,65 SNEW,"Middleton, Wisconsin",2019 AVIAT HUSKY A-1C-180,https://www.controller.com/listing/for-sale/236659995/2019-aviat-husky-a-1c-180-piston-single-aircraft,https://media.sandhills.com/img.axd?id=9017638971&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=RKqO%2blRx6SktMPqcCxrCt1uSWSW8zKS4IfriLI5xtq0%3d,"2019 AVIAT HUSKY A-1C-180 Piston Single Aircraft Options See All 9 Photos USD $365,000 Payments as low as USD $3,383.60 * *Apply for Financing Operating Costs View Details Total Time : 168 Serial Number : 3338 Registration # : N18AH Number of Seats : 2 Engine 1 Time : 65 SNEW Year Interior : 2019 Description : 2019 Husky A-1C-180: Stunning Vector Paint Scheme in Midnight Blue Peril Yellow and Rich Red. ProVFR Touch: Garmin G500TXi Touch Screen PFD/MFD & E... Updated : Friday, May 22, 2026 09:44 AM Location : Middleton, Wisconsin Email Seller (608) 332-6110 Seller : Aviat Aircraft Inc.",2026-05-30,2026-05-30
controller,Aviat Husky,2019,A-1C-180,,180 hp,150 TT,150 SNEW,"Brookings, South Dakota",2019 AVIAT HUSKY A-1C-180,https://www.controller.com/listing/for-sale/246680021/2019-aviat-husky-a-1c-180-piston-single-aircraft,,"2019 AVIAT HUSKY A-1C-180 Piston Single Aircraft Options Call for price Operating Costs View Details Total Time : 150 Engine 1 Time : 150 SNEW Engine TBO : 2200 Description : 2019 Husky A-1C 180 HP, America's Favorite Taildragger designed with the Anniversary paint scheme. In brilliant bright white & blazing fire engine ... Updated : Thursday, May 28, 2026 03:17 PM Location : Brookings, South Dakota Email Seller (605) 204-5296 Seller : Sheldon Rasmussen",2026-05-30,2026-05-30
controller,Aviat Husky,2021,A-1C-180,"$325,000",180 hp,95 TT,95 SNEW,"Dudley, Missouri",2021 AVIAT HUSKY A-1C-180,https://www.controller.com/listing/for-sale/237851237/2021-aviat-husky-a-1c-180-piston-single-aircraft,https://media.sandhills.com/img.axd?id=11023024830&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=J7dwl3%2f6H89YcJu%2fL6rc%2bkAAbzlBc4CRBGcxV%2f54atI%3d,"2021 AVIAT HUSKY A-1C-180 Piston Single Aircraft Options Featured Listing See All 11 Photos USD $325,000 Payments as low as USD $3,012.79 * *Apply for Financing Operating Costs View Details Total Time : 95 Registration # : N52AH Number of Seats : 2 Engine 1 Time : 95 SNEW Year Interior : 2021 Year Painted : 2021 Description : Always Stored In Climate Controlled Hangar - Complete and Digitized Logs Available Upon Request - Excellent Maintenance History

Fresh Annual - O... Updated : Wednesday, May 13, 2026 08:18 AM Location : Dudley, Missouri Email Seller (573) 427-2101 Seller : Jolliff Aviation & Rentals",2026-05-30,2026-05-30
controller,Aviat Husky,2023,A-1C-200,"$470,000",200 hp,100 TT,100 SNEW,"Mcallen, Texas",2023 AVIAT HUSKY A-1C-200,https://www.controller.com/listing/for-sale/256668449/2023-aviat-husky-a-1c-200-piston-single-aircraft,https://media.sandhills.com/img.axd?id=11024966612&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=KR6SqqVu50YOEVf5nNaxNctjMxdzOmJtot6DnB5M2ck%3d,"2023 AVIAT HUSKY A-1C-200 Piston Single Aircraft Options Featured Listing USD $470,000 Payments as low as USD $4,356.96 * *Apply for Financing Operating Costs View Details Total Time : 100 Serial Number : 3421 Registration # : N49HC FlightRules : IFR Engine 1 Time : 100 SNEW Year Interior : 2023 Description : Only 100 hours TTSN on this beautiful Midwestern, one owner IFR Certified Garmin Glass 200HP ShockDawg. Itâs fully decked out for IFR flight! Full ... Updated : Friday, May 29, 2026 02:14 PM Location : Mcallen, Texas Email Seller (956) 686-1774 Seller : MCCREERY AVIATION CO INC",2026-05-30,2026-05-30
controller,Aviat Husky,2025,A-1C-200,,200 hp,40 TT,0 SNEW,"Plymouth, Massachusetts",2025 AVIAT HUSKY A-1C-200,https://www.controller.com/listing/for-sale/242207279/2025-aviat-husky-a-1c-200-piston-single-aircraft,,"2025 AVIAT HUSKY A-1C-200 Piston Single Aircraft Options Featured Listing See All 15 Photos Call for price Operating Costs View Details Total Time : 40 Serial Number : 3445 Registration # : N23HU Number of Seats : 2 Engine 1 Time : 0 SNEW Year Interior : 2025 Description : EXECUTIVE DEMO SALES EVENT! Take advantage of this exclusive opportunity to own a low-time, always hangared, meticulously maintained demo Husky in ... Updated : Wednesday, May 27, 2026 08:21 AM Location : Plymouth, Massachusetts Email Seller (508) 591-0889 Seller : Aviat Aircraft Inc.",2026-05-30,2026-05-30
controller,Aviat Husky,2025,A-1C-200,,200 hp,122 TT,0 SNEW,"Hugo, Oklahoma",2025 AVIAT HUSKY A-1C-200,https://www.controller.com/listing/for-sale/245530899/2025-aviat-husky-a-1c-200-piston-single-aircraft,,"2025 AVIAT HUSKY A-1C-200 Piston Single Aircraft Options Featured Listing See All 14 Photos Call for price Operating Costs View Details Total Time : 122 Serial Number : 3455 Registration # : N20HU Engine 1 Time : 0 SNEW Year Interior : 2025 Year Painted : 2025 Description : EXECUTIVE DEMO SALES EVENT! Take advantage of this exclusive opportunity to own a low-time, always hangared, meticulously maintained demo Husky in ... Updated : Friday, May 08, 2026 09:00 AM Location : Hugo, Oklahoma Email Seller (580) 317-5999 Seller : Aviat Aircraft Inc.",2026-05-30,2026-05-30
controller,Aviat Husky,2025,A-1C-200,,200 hp,0 TT,0 SNEW,"Stayner, Ontario, Canada",2025 AVIAT HUSKY A-1C-200,https://www.controller.com/listing/for-sale/247908261/2025-aviat-husky-a-1c-200-piston-single-aircraft,,"2025 AVIAT HUSKY A-1C-200 Piston Single Aircraft Options Featured Listing See All 10 Photos Call for price Operating Costs View Details Total Time : 0 Serial Number : 3457 Registration # : N33SV Engine 1 Time : 0 SNEW Year Interior : 2025 Year Painted : 2025 Description : 2025 Husky A-1C-200 with a striking patriotic paint scheme: Beartooth in Bright Rich Blue, Fire Engine Red and White. Garmin G500TXi Touch Screen P... Updated : Friday, May 08, 2026 09:00 AM Location : Stayner, Ontario, Canada Email Seller +1 289-834-0979 Seller : Aviat Aircraft Inc.",2026-05-30,2026-05-30
controller,Aviat Husky,2025,A-1C-200,,200 hp,0 TT,0 SNEW,"Orlando, Florida",2025 AVIAT HUSKY A-1C-200,https://www.controller.com/listing/for-sale/249371347/2025-aviat-husky-a-1c-200-piston-single-aircraft,,"2025 AVIAT HUSKY A-1C-200 Piston Single Aircraft Options Featured Listing See All 14 Photos Call for price Operating Costs View Details Total Time : 0 Registration # : N36SV Number of Seats : 2 Engine 1 Time : 0 SNEW Year Interior : 2025 Year Painted : 2025 Description : 2025 Husky A-1C-200 Military Hopper Paint Scheme Matte Olive Drab - Garmin G500TXi Touch Screen PFD/MFD and Engine Information System, Garmin 750 N... Updated : Friday, May 08, 2026 09:00 AM Location : Orlando, Florida Email Seller (407) 620-3393 Seller : Aviat Aircraft Inc.",2026-05-30,2026-05-30
controller,Aviat Husky,2025,A-1C-180,"$525,000",180 hp,35 TT,35 SNEW,"Dayton, Ohio",2025 AVIAT HUSKY A-1C-180,https://www.controller.com/listing/for-sale/256460209/2025-aviat-husky-a-1c-180-piston-single-aircraft,https://media.sandhills.com/img.axd?id=11023904272&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=Oh1HURAhzUQjE%2fYNli9vEKnPTlEvzvMdIvIi8cECLVg%3d,"2025 AVIAT HUSKY A-1C-180 Piston Single Aircraft Options See All 16 Photos USD $525,000 Payments as low as USD $4,866.81 * *Apply for Financing Operating Costs View Details Total Time : 35 Serial Number : 3450 Registration # : N280WL Engine 1 Time : 35 SNEW Engine TBO : 2200 Description : Lone Mountain Aircraft is pleased to present N280WL â a Fully Loaded, Like NEW Aviat Husky A-1C-180 that is ready for summer flying!  0WL just fini... Updated : Wednesday, May 27, 2026 12:44 PM Location : Dayton, Ohio Email Seller (630) 487-1480 Seller : Lone Mountain Aircraft",2026-05-30,2026-05-30
controller,Aviat Husky,2026,A-1C-200,,200 hp,1 TT,1 SNEW,"Morgan, Utah",2026 AVIAT HUSKY A-1C-200,https://www.controller.com/listing/for-sale/251582831/2026-aviat-husky-a-1c-200-piston-single-aircraft,,"2026 AVIAT HUSKY A-1C-200 Piston Single Aircraft Options See All 14 Photos Call for price Operating Costs View Details Total Time : 1 Registration # : N75HU Number of Seats : 2 Engine 1 Time : 1 SNEW Year Interior : 2026 Year Painted : 2026 Description : Make a statement in this sporty 200 HP 2026 Husky A-1C with a bold lime green Birkmeyer Paint Scheme. Outfitted with McFarlane Alaska Lightweight A... Updated : Wednesday, May 13, 2026 04:01 PM Location : Morgan, Utah Email Seller (801) 920-1144 Seller : Aviat Aircraft Inc.",2026-05-30,2026-05-30
